,trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
0,DP0001,1,0;50282;50705;50023;50212;50381;50458;51090;51009;50938;51062;51120;0,8:0,16:51,109153,1309.836,50,12.8,200,1572.636,1
1,DP0002,1,0;50365;50834;50768;50148;50555;50402;51098;50987;51126;0,8:1,16:29,116873,1402.476,50,20.0,200,1672.876,1
2,DP0003,1,0;50552;50056;50543;50767;50721;50979;50973;50920;0,8:3,15:29,85634,1027.608,0,23.200000000000003,200,1252.008,0
3,DP0004,1,0;50386;50688;50801;50548;50052;50087;51028;51078;0,8:1,16:38,89377,1072.5240000000001,0,32.4,200,1305.324,0
4,DP0005,1,0;50476;50442;50488;50521;51037;51035;51065;51073;51166;0,8:13,17:48,128339,1540.068,50,0.0,200,1790.0680000000002,1
5,DP0006,1,0;50477;50194;50756;50832;50309;50424;51055;51077;51109;0,8:5,16:45,113490,1361.88,50,27.200000000000003,200,1641.08,1
6,DP0007,1,0;50270;50796;50072;50297;50985;51071;51066;50977;51119;0,8:42,17:16,125272,1503.2640000000001,50,23.6,200,1793.664,1
7,DP0008,1,0;50033;50149;50029;50900;51046;51067;51024;51018;51182;0,8:19,17:35,130235,1562.82,50,38.400000000000006,200,1858.8200000000002,1
8,DP0009,2,0;50628;50809;50120;50265;50864;50928;0,8:15,14:40,117163,1640.282,0,20.400000000000002,300,1966.682,0
9,DP0010,1,0;50663;50538;50139;50522;50540;50035;51086;50901;0,8:9,16:25,72400,868.8000000000001,0,48.400000000000006,200,1120.8000000000002,0
10,DP0011,1,0;50195;50490;50573;50110;50558;50301;51001;51081;0,8:9,15:26,91894,1102.728,0,18.8,200,1325.1280000000002,0
11,DP0012,1,0;50780;50577;50115;50913;51091;51029;51179;0,8:0,17:57,120053,1440.636,50,72.8,200,1763.436,1
12,DP0013,1,0;50542;50753;50519;50377;50420;51020;50974;50982;51198;0,8:13,17:15,104912,1258.944,50,38.800000000000004,200,1552.944,1
13,DP0014,1,0;50245;50849;50293;50584;50224;50470;0,8:4,13:2,89319,1071.828,0,0.0,200,1271.828,0
14,DP0015,1,0;50814;50412;50141;50478;50831;51075;50998;51033;0,8:44,17:7,94519,1134.228,0,46.0,200,1397.828,0
15,DP0016,1,0;50012;50841;50140;50174;50206;51048;0,8:2,15:20,93481,1121.772,0,39.6,200,1362.172,0
16,DP0017,2,0;50803;50650;50049;50895;50392;51069;51167;0,8:9,15:44,135257,1893.598,50,21.6,300,2268.7980000000002,1
17,DP0018,1,0;50113;50272;50027;50031;50304;50806;50933;51007;0,8:10,15:23,72660,871.9200000000001,0,23.200000000000003,200,1099.1200000000001,0
18,DP0019,1,0;50479;50898;50590;50271;50873;50781;51022;50943;51128;0,8:1,15:56,124596,1495.152,50,17.2,200,1762.752,1
19,DP0020,1,0;50685;50257;50333;50563;50038;50535;50983;50994;0,8:6,15:22,82559,990.708,0,19.200000000000003,200,1212.308,0
