,trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
0,DP0001,1,0;40179;40231;40252;40279;40432;41046;41186;41121;41273;0,8:0,17:3,106141,1273.692,50,14.8,200,1538.492,1
1,DP0002,1,0;40718;40553;40917;40608;40870;41016;41014;41125;41259;0,8:9,17:17,136362,1636.344,50,28.8,200,1918.7440000000001,1
2,DP0003,1,0;40513;40245;40606;40412;41120;41048;41268;0,8:6,16:33,126056,1512.672,50,58.400000000000006,200,1823.472,1
3,DP0004,1,0;40660;40243;40793;40258;41116;41147;41062;41176;0,8:16,17:9,96579,1158.948,0,64.4,200,1423.748,0
4,DP0005,1,0;40599;40589;40466;41090;41110;41008;41214;0,8:0,17:44,142037,1704.444,50,60.400000000000006,200,2014.844,1
5,DP0006,1,0;40749;40112;40034;40901;40214;40690;41180;41092;41202;0,8:0,15:53,109921,1319.0520000000001,50,8.0,200,1577.0520000000001,1
6,DP0007,1,0;40302;40392;40974;40370;40349;41111;41128;41166;0,8:44,15:38,83789,1005.4680000000001,0,22.8,200,1245.868,0
7,DP0008,1,0;40444;40498;40043;40427;41039;41051;41242;0,8:0,17:30,155975,1871.7,50,73.2,200,2194.9,1
8,DP0009,1,0;40855;40401;40383;40852;41022;41193;41278;0,8:16,16:3,110532,1326.384,50,34.0,200,1616.784,1
9,DP0010,1,0;40148;40520;40874;40633;41033;41098;41093;41036;41300;0,8:2,17:1,122889,1474.6680000000001,50,17.6,200,1743.0680000000002,1
10,DP0011,1,0;40527;40644;40397;40642;41143;41106;41173;41181;0,8:12,16:12,99433,1193.196,0,25.200000000000003,200,1423.1960000000001,0
11,DP0012,1,0;40698;40051;40890;40962;41108;41157;41268;41009;41052;0,8:28,16:43,155402,1864.824,50,16.8,200,2142.824,1
12,DP0013,1,0;40121;40968;40411;40722;41042;41152;41139;41182;41294;0,9:30,16:46,116812,1401.7440000000001,50,8.0,200,1695.744,1
13,DP0014,1,0;40556;40442;40435;40048;41171;41084;41287;41018;41126;0,8:6,17:22,173390,2080.68,50,14.0,200,2347.08,1
14,DP0015,1,0;40899;40533;40580;40754;40267;41038;41080;41129;0,8:30,15:43,93554,1122.648,0,28.400000000000002,200,1363.048,0
15,DP0016,1,0;40213;40416;40256;40086;40847;41011;41219;0,8:6,15:39,89872,1078.464,50,35.2,200,1366.064,1
16,DP0017,1,0;40537;40998;40409;40144;40965;41030;41154;41175;41290;0,8:9,16:48,103209,1238.508,50,40.800000000000004,200,1532.908,1
17,DP0018,1,0;40786;40040;40523;40903;41164;41045;41091;41083;41223;0,9:27,17:34,114207,1370.484,50,25.6,200,1680.884,1
18,DP0019,1,0;40732;40503;40813;40414;40892;41145;41017;41194;0,8:3,16:16,96919,1163.028,0,6.4,200,1370.6280000000002,0
19,DP0020,1,0;40396;40489;40068;40843;40376;40783;41132;41109;0,8:9,15:43,92345,1108.14,0,33.6,200,1345.3400000000001,0
20,DP0021,1,0;40535;40937;40027;40551;40949;41192;41119;41050;0,8:15,17:7,96462,1157.544,0,36.800000000000004,200,1400.344,0
21,DP0022,1,0;40668;40288;40693;40077;41077;41095;41034;41169;0,9:36,16:31,82705,992.46,0,18.8,200,1214.46,0
22,DP0023,1,0;40036;40824;40701;40457;41085;41072;41096;41043;41211;0,8:24,17:36,97541,1170.492,50,51.6,200,1481.692,1
23,DP0024,1,0;40706;40893;40313;40504;40071;40391;41195;41168;0,8:8,14:38,79611,955.332,0,7.6000000000000005,200,1166.132,0
24,DP0025,1,0;40515;40572;40203;40809;41076;41133;41075;41068;0,9:28,16:53,78514,942.168,0,23.200000000000003,200,1182.1680000000001,0
25,DP0026,1,0;40683;40564;40152;40352;40486;40712;41031;41187;41232;0,8:1,16:31,127358,1528.296,50,28.0,200,1806.696,1
26,DP0027,2,0;40640;40101;40794;40092;41037;41101;41205;0,8:6,17:14,146384,2049.376,50,46.400000000000006,300,2448.176,1
27,DP0028,1,0;40505;40586;40496;40400;40909;41159;0,8:52,14:13,92574,1110.888,0,9.600000000000001,200,1341.288,0
28,DP0029,1,0;40990;40981;40844;40323;40807;41055;41160;41190;41296;0,8:12,16:54,124587,1495.044,50,32.0,200,1781.844,1
29,DP0030,1,0;40834;40560;40688;40003;40009;41094;41047;41058;0,8:22,15:56,69540,834.48,0,35.2,200,1078.48,0
30,DP0031,1,0;40164;40999;40382;40055;41153;41178;41003;41197;0,8:48,16:17,86158,1033.896,0,27.6,200,1261.496,0
31,DP0032,1,0;40168;40559;40188;40364;40146;41086;41219;0,8:16,16:36,106647,1279.7640000000001,50,63.6,200,1599.7640000000001,1
32,DP0033,1,0;40545;40532;40913;40544;40942;40346;40473;41069;0,8:2,14:18,58334,700.008,0,15.600000000000001,200,916.4079999999999,0
