,trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
0,DP0001,1,0;31039;30957;30518;30951;30436;31195;31205;31263;31312;0,8:2,17:22,133165,1597.98,50,25.6,200,1874.38,1
1,DP0002,1,0;30309;30537;30498;30595;31262;31211;31174;31181;31315;0,8:37,18:4,142386,1708.632,50,20.0,200,1991.432,1
2,DP0003,1,0;30812;30493;30387;30377;31040;31215;31158;31273;31324;0,8:25,17:32,129300,1551.6000000000001,50,36.800000000000004,200,1848.4,1
3,DP0004,1,0;30261;30770;30947;30477;30505;31300;31187;31143;31303;0,8:4,17:12,112534,1350.4080000000001,50,27.6,200,1629.6080000000002,1
4,DP0005,1,0;30535;30138;30456;30926;30961;31193;31197;31203;31397;0,8:12,17:7,116986,1403.832,50,36.800000000000004,200,1695.4320000000002,1
5,DP0006,1,0;30522;30904;30925;30871;31208;31204;31267;31292;0,8:43,16:8,91292,1095.5040000000001,0,24.400000000000002,200,1327.104,0
6,DP0007,1,0;30051;30092;30063;30334;30576;31024;31234;31295;0,8:5,14:43,97732,1172.784,0,14.0,200,1388.784,0
7,DP0008,1,0;30717;30446;30296;30364;30791;31136;31140;31281;0,8:8,15:14,87940,1055.28,0,32.800000000000004,200,1291.28,0
8,DP0009,1,0;30442;30891;30206;30849;31005;31271;31133;31243;0,8:22,16:40,96395,1156.74,0,52.0,200,1417.54,0
9,DP0010,1,0;30058;30705;30123;30413;31141;31118;31287;31265;31349;0,9:7,17:37,127253,1527.036,50,26.400000000000002,200,1810.636,1
10,DP0011,1,0;30504;30176;30068;30864;31258;31247;31279;31269;0,8:21,17:32,88202,1058.424,0,58.0,200,1316.424,0
11,DP0012,1,0;30946;30945;30902;30319;30661;31101;31350;31240;31270;0,8:12,16:17,136107,1633.284,50,5.6000000000000005,200,1893.6840000000002,1
12,DP0013,1,0;30163;30301;30020;30744;31146;31113;31142;31266;0,9:9,17:21,90699,1088.388,0,44.0,200,1359.988,0
13,DP0014,1,0;30615;30416;30148;30624;30343;30462;31250;31175;0,8:10,14:44,73141,877.692,0,13.600000000000001,200,1095.292,0
14,DP0015,1,0;30255;30547;30353;30457;30973;31125;31199;31277;0,8:22,16:15,94720,1136.64,0,40.800000000000004,200,1386.24,0
15,DP0016,1,0;30516;30429;30224;30064;30645;31107;31246;31236;0,8:16,15:57,99911,1198.932,0,31.200000000000003,200,1436.5320000000002,0
16,DP0017,2,0;30212;30465;30101;30879;30393;30517;31255;31182;0,8:17,16:19,114717,1606.038,0,35.2,300,1948.038,0
17,DP0018,1,0;30322;30701;30561;30232;30181;31134;31121;31217;0,8:12,16:20,68963,827.556,0,48.400000000000006,200,1080.756,0
18,DP0019,1,0;30231;30262;30017;30790;30458;30276;31290;31253;0,8:6,15:11,86838,1042.056,0,22.8,200,1267.256,0
19,DP0020,1,0;30899;30538;30804;30274;31112;31238;31245;31280;0,8:49,16:11,71091,853.092,0,40.800000000000004,200,1093.8919999999998,0
20,DP0021,1,0;30250;31068;30188;30767;31216;31186;31131;31214;0,8:25,16:28,65875,790.5,0,51.2,200,1051.7,0
21,DP0022,1,0;30280;30680;30713;30651;30692;30047;31248;31151;0,8:19,15:52,51237,614.844,0,54.400000000000006,200,876.844,0
22,DP0023,1,0;30861;30397;30609;31004;30288;31285;31165;31230;0,8:1,15:40,78135,937.62,0,40.800000000000004,200,1178.8200000000002,0
23,DP0024,1,0;30388;30873;30792;30062;30699;30720;31213;31155;0,8:35,15:44,70512,846.144,0,31.200000000000003,200,1091.344,0
24,DP0025,1,0;30953;30025;30892;30965;31166;31147;31254;31167;0,8:40,15:40,80874,970.488,0,22.8,200,1196.888,0
25,DP0026,2,0;30189;30292;30931;30523;30987;30906;31268;31275;0,8:3,16:28,102862,1440.068,0,32.800000000000004,300,1774.068,0
26,DP0027,1,0;30847;30818;31077;30664;30827;31184;31223;31176;0,8:26,15:23,65562,786.744,0,30.400000000000002,200,1027.5439999999999,0
27,DP0028,1,0;31096;30390;30299;30007;31126;31123;0,8:0,16:10,75515,906.1800000000001,0,81.60000000000001,200,1187.78,0
28,DP0029,1,0;30315;30272;30668;30761;30678;30154;0,8:8,12:41,58429,701.148,0,6.0,200,910.348,0
29,DP0030,1,0;30489;30777;30312;30211;30539;30168;31198;31128;0,8:4,16:14,73682,884.184,0,61.2,200,1146.984,0
30,DP0031,2,0;30794;30711;30327;30943;30755;30054;31293;31104;0,8:15,14:52,77361,1083.054,0,8.4,300,1397.454,0
31,DP0032,1,0;31051;30249;30027;30971;30100;31286;0,8:9,14:52,96875,1162.5,0,24.400000000000002,200,1390.5,0
32,DP0033,1,0;30502;30656;30032;30239;31010;30552;31120;31163;0,8:8,16:13,81003,972.0360000000001,0,48.0,200,1223.2359999999999,0
33,DP0034,1,0;31069;30702;30970;30180;30872;30511;31129;31119;0,8:1,15:53,82618,991.416,0,30.8,200,1222.616,0
34,DP0035,1,0;30566;30568;30690;30134;30956;30050;31150;31221;0,8:37,14:31,56274,675.288,0,8.8,200,898.888,0
35,DP0036,1,0;30230;30034;30771;30470;30550;30246;31209;31252;0,8:0,16:1,67123,805.476,0,59.2,200,1064.676,0
36,DP0037,1,0;30706;30447;30737;30724;30382;31191;31283;31291;0,8:27,15:38,62847,754.164,0,30.0,200,994.9639999999999,0
37,DP0038,1,0;30090;30868;30459;30893;30137;30900;31185;31177;0,8:12,16:36,89953,1079.436,0,53.6,200,1337.836,0
38,DP0039,1,0;30453;30451;30805;30410;31206;31115;31249;31244;0,8:50,16:38,97229,1166.748,0,31.200000000000003,200,1403.548,0
39,DP0040,1,0;30910;30263;30178;30579;30371;31272;0,8:7,14:5,66543,798.516,0,32.800000000000004,200,1031.316,0
40,DP0041,1,0;31045;30362;30810;30426;30789;30636;31105;31251;0,8:7,15:46,53689,644.268,0,54.0,200,901.068,0
41,DP0042,1,0;30719;31057;30011;30726;30788;30927;31138;31178;0,8:4,16:33,79201,950.412,0,53.6,200,1205.612,0
42,DP0043,1,0;30972;30820;30427;30683;30882;30960;31224;31132;0,8:10,15:25,70697,848.364,0,37.6,200,1089.964,0
43,DP0044,2,0;30383;31027;30541;30785;30600;30536;31294;31278;0,8:6,16:42,102168,1430.352,0,32.0,300,1764.7520000000002,0
44,DP0045,1,0;30895;30565;30748;30747;30782;31289;31162;31241;0,8:13,14:49,91703,1100.436,0,7.6000000000000005,200,1313.2359999999999,0
45,DP0046,2,0;30373;30199;30885;30282;30106;30428;31161;31117;0,8:1,14:46,70059,980.826,0,22.8,300,1304.026,0
46,DP0047,2,0;30481;30046;30235;30396;30331;30918;0,8:14,12:11,33840,473.76,0,0.0,300,773.76,0
47,DP0048,1,0;30631;30088;30836;30003;30851;30938;31202;31102;31305;0,8:1,16:39,143486,1721.832,50,34.800000000000004,200,2007.032,1
48,DP0049,1,0;30610;30884;30385;30828;31312;0,8:30,14:2,114543,1374.516,50,0.0,200,1624.516,1
49,DP0050,1,0;31001;30921;30858;30644;30718;31210;31242;31352;0,8:34,16:42,144700,1736.4,50,6.800000000000001,200,2006.8000000000002,1
50,DP0051,1,0;31038;30856;30811;31257;31235;31274;31370;0,9:3,18:50,141163,1693.9560000000001,50,57.2,200,2008.356,1
51,DP0052,1,0;30693;30113;30264;30129;31312;0,8:0,13:51,114215,1370.58,50,0.0,200,1620.58,1
52,DP0053,1,0;30014;31008;30159;30740;31370;0,8:1,14:6,128331,1539.972,50,0.0,200,1789.9720000000002,1
53,DP0054,1,0;30937;30671;31220;31212;31370;0,8:32,17:43,119042,1428.5040000000001,50,80.0,200,1758.504,1
54,DP0055,1,0;30472;30598;30072;31200;31379;0,8:34,16:56,117366,1408.392,50,67.60000000000001,200,1739.592,1
55,DP0056,1,0;30710;30240;30759;30617;31360;0,8:0,13:50,128879,1546.548,50,4.4,200,1800.9479999999999,1
56,DP0057,1,0;30473;30260;30183;30358;31391;0,8:11,13:57,123396,1480.752,50,0.0,200,1730.752,1
57,DP0058,1,0;30700;30392;30073;30996;31315;0,8:28,14:37,114333,1371.996,50,8.0,200,1641.1960000000001,1
58,DP0059,1,0;30834;30667;30848;30509;31337;0,8:13,15:7,119747,1436.964,50,6.800000000000001,200,1698.964,1
59,DP0060,1,0;30605;31047;30061;30308;31339;0,8:21,14:16,115672,1388.064,50,11.600000000000001,200,1658.0639999999999,1
60,DP0061,1,0;30924;30712;30414;30779;31379;0,8:3,14:14,126006,1512.0720000000001,50,9.200000000000001,200,1772.472,1
61,DP0062,1,0;30378;30985;30815;30455;31007;31382;0,8:0,14:20,132577,1590.924,50,0.0,200,1840.924,1
62,DP0063,1,0;30351;30618;30499;30697;31359;0,8:3,12:54,116917,1403.0040000000001,50,0.0,200,1653.004,1
