,trans_code,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
0,DP0001,1,0;20870;20168;20500;20630;21205;21357;21221;21388;21408;0,8:17,17:18,112417,1349.0040000000001,50,34.0,200,1639.8039999999999,1
1,DP0002,1,0;21152;20421;20011;21310;21202;21375;21397;21383;0,8:32,16:49,94620,1135.44,0,43.6,200,1379.04,0
2,DP0003,1,0;21150;20953;20965;20718;21266;21314;21412;0,8:24,15:56,113260,1359.1200000000001,50,35.2,200,1653.92,1
3,DP0004,1,0;20682;20615;20850;21189;20050;21259;21363;21246;21489;0,8:18,16:40,130735,1568.82,50,18.400000000000002,200,1844.42,1
4,DP0005,1,0;21144;20308;20835;20771;20059;21238;21413;0,8:6,17:31,143530,1722.3600000000001,50,62.800000000000004,200,2037.56,1
5,DP0006,1,0;20863;20116;20600;20211;21252;21285;0,8:6,15:18,91663,1099.9560000000001,0,33.2,200,1335.556,0
6,DP0007,1,0;21147;20252;20859;20516;20949;21332;21337;21319;0,8:23,16:11,91104,1093.248,0,30.400000000000002,200,1332.848,0
7,DP0008,1,0;20713;21093;20946;20018;20486;20192;21326;21218;0,8:9,15:45,95137,1141.644,0,30.0,200,1375.2440000000001,0
8,DP0009,1,0;20288;20335;20282;21047;20643;21222;0,8:1,15:5,81146,973.7520000000001,0,41.6,200,1215.752,0
9,DP0010,1,0;20814;20609;20407;20998;20077;21227;21428;21241;21369;0,8:2,16:35,172409,2068.908,50,11.600000000000001,200,2331.308,1
10,DP0011,1,0;20774;20423;21002;20036;20493;20763;21203;21331;0,8:15,14:43,72847,874.164,0,7.6000000000000005,200,1087.7640000000001,0
11,DP0012,1,0;21194;21095;21043;20375;20434;20873;21289;21215;0,8:2,16:6,75162,901.9440000000001,0,44.0,200,1146.744,0
12,DP0013,1,0;20230;20437;20969;20748;21407;21395;21391;21344;21232;0,8:12,16:17,159887,1918.644,50,2.8000000000000003,200,2176.2439999999997,1
13,DP0014,1,0;21036;20538;20902;20269;21268;21290;21295;21223;21415;0,8:24,17:7,117608,1411.296,50,9.200000000000001,200,1680.096,1
14,DP0015,1,0;21187;20736;21000;20783;21324;21323;0,8:7,16:11,99320,1191.84,0,67.2,200,1461.8400000000001,0
15,DP0016,2,0;20166;20220;20554;20649;20122;20995;0,8:2,13:6,102947,1441.258,0,0.0,300,1741.258,0
16,DP0017,1,0;20765;20133;20957;20908;20693;21013;0,8:14,13:16,94804,1137.648,0,2.4000000000000004,200,1345.648,0
17,DP0018,1,0;21196;20568;20927;20781;20479;20916;0,8:11,13:20,87077,1044.924,0,0.0,200,1246.124,0
18,DP0019,1,0;20326;21052;20324;20707;21046;20865;0,8:7,13:6,56437,677.244,0,0.0,200,879.644,0
19,DP0020,1,0;20891;20971;20725;20111;20837;21381;21392;21393;0,8:3,16:16,96302,1155.624,0,44.0,200,1400.824,0
20,DP0021,1,0;20040;20481;20484;20152;21306;21346;21229;0,8:42,16:18,99684,1196.208,0,46.0,200,1442.208,0
21,DP0022,1,0;21019;20882;20270;20061;21009;21206;0,8:11,14:0,69596,835.152,0,20.8,200,1060.352,0
22,DP0023,1,0;20731;21139;20029;20701;20923;21325;21488;0,8:2,16:9,138621,1663.452,50,47.6,200,1961.8519999999999,1
23,DP0024,2,0;20475;21092;20090;20868;20712;21084;0,8:11,13:15,92849,1299.886,0,0.0,300,1602.286,0
24,DP0025,2,0;20411;20795;20910;20977;20844;21279;21398;21236;21480;0,8:13,17:12,133449,1868.286,50,42.400000000000006,300,2265.886,1
25,DP0026,1,0;21197;21020;21051;20787;21284;21281;21293;21226;21404;0,9:9,17:52,131328,1575.936,50,28.8,200,1872.7359999999999,1
26,DP0027,1,0;20235;20163;21179;20570;20698;20463;21234;21224;21422;0,8:4,16:18,129906,1558.872,50,14.0,200,1824.472,1
27,DP0028,1,0;20377;20753;20523;20677;20073;20589;21389;21257;21481;0,8:2,16:37,113850,1366.2,50,26.400000000000002,200,1643.4,1
28,DP0029,1,0;20982;21112;20980;20782;21358;21231;21439;0,8:2,15:35,117642,1411.704,50,20.8,200,1683.304,1
29,DP0030,1,0;20513;21102;20433;20679;21359;21273;21454;0,8:6,16:50,121031,1452.372,50,48.800000000000004,200,1753.5720000000001,1
30,DP0031,1,0;20100;20534;20529;21315;21377;21303;21439;0,8:0,16:52,126428,1517.136,50,48.400000000000006,200,1815.536,1
