,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
0,2,0;50486;50774;50192;50019;50792;50457;0,8:2,12:27,44943,629.202,0,0.0,300,929.202,0
1,1,0;50093;50153;50312;50296;50783;50851;0,8:8,12:14,34635,415.62,0,0.0,200,615.62,0
2,1,0;50245;50849;50293;50584;50224;50470;0,8:4,13:2,89319,1071.828,0,0.0,200,1271.828,0
3,2,0;50749;50771;50835;50120;50265;50864;50928;51036;50930;0,8:3,15:44,94730,1326.22,0,16.400000000000002,300,1643.82,0
4,1,0;50499;50065;50453;50702;50346;0,8:25,12:33,56040,672.48,0,0.0,200,876.08,0
5,1,0;50866;50876;50352;50726;50220;51079;50959;0,8:26,15:4,63656,763.8720000000001,0,37.6,200,1011.872,0
6,1,0;50306;50241;50343;50728;0,8:44,11:37,32524,390.288,0,0.0,200,599.088,0
7,1,0;50541;50228;50333;50563;50581;50218;0,8:0,12:58,67955,815.46,0,0.0,200,1015.46,0
8,1,0;50824;50138;50467;50381;50671;51090;50967;50964;0,8:57,15:20,82132,985.5840000000001,0,9.200000000000001,200,1217.584,0
9,1,0;50409;50510;50050;50819;50367;0,8:5,12:13,58182,698.184,0,0.0,200,898.184,0
10,1,0;50003;50496;50234;50328;50658;0,8:6,11:53,47596,571.152,0,0.0,200,771.152,0
11,1,0;50777;50068;50396;50376;0,8:24,11:49,52708,632.496,0,0.0,200,832.4960000000001,0
12,1,0;50250;50010;50727;50662;50931;50940;0,8:50,15:27,82507,990.0840000000001,0,36.4,200,1226.484,0
13,1,0;50545;50359;50098;50136;50473;50655;0,8:3,12:41,59296,711.552,0,0.0,200,911.552,0
14,1,0;50300;50469;50804;50117;50082;51076;0,8:2,14:34,92332,1107.984,0,13.200000000000001,200,1321.9840000000002,0
15,1,0;50040;50152;50651;50840;0,8:27,11:34,44130,529.5600000000001,0,0.0,200,739.56,0
16,1,0;50580;50371;50077;50823;0,8:21,11:36,48331,579.972,0,0.0,200,783.172,0
17,1,0;50640;50551;50009;50614;51023;0,9:35,14:15,57473,689.676,0,8.8,200,927.2760000000001,0
18,1,0;50261;50249;50124;50451;50919;0,8:24,14:40,58729,704.748,0,47.6,200,960.3480000000001,0
19,1,0;50286;50327;50583;50808;0,8:28,12:12,48368,580.416,0,11.600000000000001,200,803.216,0
20,1,0;50335;50237;50288;50413;0,8:16,12:5,58080,696.96,0,0.0,200,896.96,0
21,1,0;50024;50829;50109;50475;50123;50336;0,8:0,12:37,70950,851.4,0,0.0,200,1051.4,0
22,1,0;50834;50768;50100;50757;50947;50995;51003;0,8:33,16:16,94828,1137.936,0,50.0,200,1387.936,0
23,1,0;50858;50568;50498;50455;50347;0,8:3,11:55,47348,568.176,0,0.0,200,768.176,0
24,1,0;50462;50398;50315;50014;50784;0,8:1,12:17,66227,794.724,0,0.0,200,994.7239999999999,0
25,1,0;50524;50108;50660;50708;0,8:1,11:13,48423,581.076,0,0.0,200,781.076,0
26,1,0;50649;50608;50785;50604;0,9:1,12:9,48991,587.892,0,0.0,200,800.292,0
27,1,0;50266;50497;50745;50361;50275;0,8:16,12:34,61317,735.804,0,0.0,200,938.604,0
28,1,0;50450;50464;50189;50277;50057;50311;0,8:8,12:57,70052,840.624,0,0.0,200,1040.624,0
29,1,0;50508;50190;50267;50595;50388;50754;0,8:2,12:52,76764,921.168,0,0.0,200,1121.1680000000001,0
30,1,0;50404;50578;50559;50605;0,8:19,11:55,54198,650.376,0,0.0,200,855.976,0
31,1,0;50307;50631;50103;50569;0,8:24,11:35,48571,582.852,0,0.0,200,782.8520000000001,0
32,1,0;50406;50495;50472;50240;0,8:15,11:29,37766,453.192,0,0.0,200,655.592,0
33,2,0;50345;50740;50255;50536;50509;0,8:15,12:48,66220,927.08,0,0.0,300,1233.08,0
34,1,0;50705;50817;50023;50212;50458;51009;0,8:24,14:37,93870,1126.44,0,34.0,200,1370.04,0
35,1,0;50164;50055;50763;50493;0,8:34,11:52,44617,535.404,0,0.0,200,739.004,0
36,2,0;50643;50353;50520;50899;50317;50739;0,8:13,13:17,61408,859.712,0,0.0,300,1159.712,0
37,2,0;50122;50887;50857;50166;0,8:5,11:28,54736,766.304,0,0.0,300,1066.304,0
38,2,0;50018;50036;50632;50232;50998;0,8:2,16:12,71218,997.052,0,87.60000000000001,300,1385.452,0
39,1,0;50154;50254;50713;50673;0,8:40,11:20,19946,239.352,0,0.0,200,441.35200000000003,0
40,1,0;50340;50438;50095;50020;50576;50991;50908;51034;51116;0,8:5,16:40,137447,1649.364,50,22.0,200,1923.364,1
41,1,0;50666;50243;50076;50106;50492;50954;50996;51094;51106;0,8:8,17:11,148643,1783.7160000000001,50,10.0,200,2046.9160000000002,1
42,1,0;50780;50816;50821;50549;50893;50952;51188;50981;0,8:0,16:15,180135,2161.62,50,11.600000000000001,200,2423.22,1
43,1,0;50770;50802;50719;50622;50872;51068;51099;51168;0,8:0,16:55,131377,1576.5240000000001,50,43.6,200,1870.124,1
44,1,0;50844;50842;50121;51040;51044;51052;51116;0,8:1,17:28,147302,1767.624,50,63.2,200,2081.224,1
45,1,0;50642;50852;50856;50546;50085;51054;51050;51169;0,8:7,16:25,126373,1516.476,50,26.0,200,1795.276,1
46,1,0;50086;50676;50028;50697;50226;50937;51159;0,8:17,15:51,134479,1613.748,50,10.8,200,1881.348,1
47,1,0;50867;50089;50883;50350;50104;51080;50972;51141;0,8:0,18:20,141571,1698.852,50,67.60000000000001,200,2016.4520000000002,1
48,1,0;50305;50845;50339;50251;50168;50927;51074;50916;51186;0,8:14,16:16,156105,1873.26,50,11.200000000000001,200,2140.06,1
49,1,0;50712;50625;50881;50209;50960;51011;50941;51195;0,8:9,16:48,124985,1499.82,50,39.2,200,1792.62,1
50,1,0;50803;50650;50443;50661;50984;51058;51111;0,8:22,16:49,130886,1570.632,50,44.0,200,1873.4320000000002,1
51,1,0;50635;50054;50449;50637;50973;51029;51179;0,8:24,16:48,125020,1500.24,50,16.8,200,1767.04,1
52,2,0;50885;50323;50259;50506;50204;50957;51013;51082;51188;0,8:1,17:12,165173,2312.422,50,15.200000000000001,300,2678.022,1
53,1,0;50810;50696;50585;50735;51086;51174;50901;0,8:18,16:45,118929,1427.1480000000001,50,58.400000000000006,200,1735.548,1
54,1,0;50079;50474;50452;50202;50269;50965;51166;0,8:7,15:56,109645,1315.74,50,22.8,200,1591.3400000000001,1
