,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
0,1,0;30265;30650;30372;30333;31033;30124;31289;31241;0,8:7,14:8,18084,217.008,0,33.6,200,453.408,0
1,1,0;30306;30923;30892;30969;30276;31147;31254;31119;0,8:14,15:44,96239,1154.868,0,26.400000000000002,200,1386.868,0
2,1,0;30230;30771;30818;30470;30550;30827;31248;31151;0,8:0,15:52,62406,748.8720000000001,0,53.6,200,1002.4720000000001,0
3,1,0;30826;30939;30690;30134;30956;30050;0,8:28,12:55,51663,619.956,0,0.0,200,819.956,0
4,1,0;30935;30279;30909;30634;30485;31042;0,8:0,12:36,35449,425.38800000000003,0,11.600000000000001,200,636.988,0
5,1,0;30242;30630;30032;30692;30239;30047;0,8:51,13:3,48889,586.668,0,0.0,200,800.668,0
6,1,0;30942;30558;30525;30500;30981;0,8:5,11:37,29991,359.892,0,0.0,200,559.892,0
7,1,0;30910;30263;30641;30914;30784;0,8:7,11:35,26579,318.948,0,0.0,200,518.948,0
8,1,0;30555;30325;30226;30111;0,8:13,11:50,21573,258.87600000000003,0,23.6,200,482.476,0
9,2,0;30373;30842;30074;30282;30106;30428;0,8:0,12:44,66017,924.238,0,0.0,300,1224.238,0
10,1,0;30046;31028;30808;30002;0,8:33,11:50,35518,426.216,0,0.0,200,635.4159999999999,0
11,1,0;30757;30335;30668;30761;30678;30154;31135;0,8:7,13:56,67586,811.032,0,17.6,200,1031.432,0
12,1,0;30873;30330;30408;30402;30661;31101;31240;31270;0,8:4,15:58,90594,1087.128,0,36.0,200,1324.728,0
13,1,0;30615;30416;30148;30547;30624;30462;0,8:3,12:53,69299,831.588,0,0.0,200,1031.588,0
14,1,0;30682;30742;30805;31020;30109;31296;0,8:28,14:47,81864,982.368,0,28.0,200,1221.568,0
15,1,0;30847;30680;30713;30651;31077;30664;31184;0,8:0,13:47,57009,684.1080000000001,0,21.6,200,905.708,0
16,1,0;31014;30024;30756;30294;31118;31213;31155;31192;0,8:23,16:48,81121,973.452,0,64.4,200,1237.852,0
17,1,0;30057;30551;30298;30760;30181;0,8:21,12:14,59330,711.96,0,0.0,200,911.96,0
18,1,0;30453;30587;30022;30451;30410;31238;31245;0,8:30,15:39,77807,933.684,0,44.400000000000006,200,1178.084,0
19,1,0;30794;30087;30197;30843;30943;30369;0,8:5,12:47,66265,795.1800000000001,0,0.0,200,995.1800000000001,0
20,1,0;30233;30953;30025;30965;30458;31290;31253;0,8:10,15:11,89945,1079.34,0,31.6,200,1314.94,0
21,1,0;30497;31011;30139;30133;30835;30519;0,8:12,12:36,53820,645.84,0,0.0,200,845.84,0
22,1,0;30120;30750;30062;30699;30469;0,8:58,12:50,56649,679.788,0,0.0,200,901.788,0
23,1,0;31090;30916;30656;31010;31223;31176;0,8:2,15:23,50377,604.524,0,77.2,200,881.7239999999999,0
24,1,0;30898;30386;31015;30707;30374;0,8:12,12:8,64996,779.952,0,0.0,200,981.152,0
25,1,0;30272;30287;30806;30422;30091;31231;0,8:22,16:21,82851,994.212,0,70.0,200,1273.012,0
26,1,0;30083;30725;30503;30180;30511;0,8:14,12:15,57166,685.992,0,0.0,200,886.792,0
27,1,0;30542;31002;30625;30217;30147;0,8:0,11:49,54717,656.604,0,0.0,200,856.604,0
28,1,0;30486;30702;30557;30872;31003;0,8:27,12:46,55920,671.04,0,7.2,200,889.04,0
29,1,0;30322;30701;30561;30232;31130;31175;0,8:12,14:35,64057,768.684,0,38.400000000000006,200,1007.0840000000001,0
30,1,0;30326;30090;30868;30137;30900;0,8:0,11:52,57720,692.64,0,0.0,200,892.64,0
31,1,0;30669;30950;30099;30072;31282;31200;31146;31266;31344;0,8:16,17:54,128354,1540.248,50,43.2,200,1839.848,1
32,1,0;30570;30388;30792;30425;0,8:18,11:36,50147,601.764,0,0.0,200,808.164,0
33,1,0;30399;30184;30609;30733;31004;30474;0,8:3,12:42,68752,825.024,0,0.0,200,1025.0240000000001,0
34,1,0;30031;30814;31073;30807;31281;31129;31196;31229;0,8:39,16:21,99398,1192.776,0,35.2,200,1427.9759999999999,0
35,1,0;30513;30735;30491;30809;30080;0,8:20,12:36,59862,718.344,0,0.0,200,921.144,0
36,1,0;30838;30071;30727;30490;0,8:12,11:24,48755,585.0600000000001,0,0.0,200,785.06,0
37,1,0;30912;30659;30986;30883;31209;31252;0,8:27,16:1,63038,756.456,0,71.60000000000001,200,1028.056,0
38,1,0;30199;30885;30459;30338;0,8:27,11:41,50722,608.664,0,0.0,200,813.864,0
39,1,0;31069;30970;30093;31122;0,8:32,14:14,47984,575.808,0,57.2,200,845.808,0
40,1,0;30780;30208;30121;30136;30800;0,8:0,11:58,64228,770.736,0,0.0,200,970.736,0
41,1,0;31099;30920;30223;31048;0,8:33,11:57,43307,519.684,0,10.4,200,743.284,0
42,1,0;31018;31022;30293;30004;0,8:2,11:31,54905,658.86,0,5.6000000000000005,200,865.26,0
43,1,0;31057;30427;30980;30882;0,8:50,12:3,42055,504.66,0,0.0,200,714.26,0
44,1,0;30621;31029;30982;30737;30382;0,8:17,12:1,55025,660.3000000000001,0,0.0,200,860.3000000000001,0
45,1,0;30280;30021;31080;30256;31171;0,8:29,14:53,62599,751.188,0,60.800000000000004,200,1023.588,0
46,1,0;30314;30131;30988;30762;0,8:29,11:42,47134,565.6080000000001,0,0.0,200,765.608,0
47,1,0;30995;30258;31095;30164;0,8:5,11:31,47170,566.04,0,7.2,200,775.24,0
48,1,0;31066;30501;30964;30944;0,8:1,11:11,47848,574.176,0,0.0,200,774.1759999999999,0
49,1,0;30903;30627;30488;30118;0,8:3,11:38,45128,541.5360000000001,0,11.600000000000001,200,754.336,0
