,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
0,1,0;20612;20796;20270;20156;20061;21279;21398;21236;0,8:26,16:38,63975,767.7,0,53.2,200,1031.3000000000002,0
1,1,0;20458;20212;20938;21009;21206;0,10:1,14:0,42126,505.512,0,8.8,200,743.512,0
2,1,0;21065;20280;20206;20140;0,8:26,11:29,34048,408.576,0,0.0,200,608.576,0
3,1,0;20967;20784;20964;20014;0,8:41,11:31,26425,317.1,0,0.0,200,529.1,0
4,1,0;20830;20985;20297;21135;20381;0,8:22,12:15,37745,452.94,0,0.0,200,652.94,0
5,1,0;20855;20403;20853;20846;21160;20634;0,8:7,12:51,62073,744.876,0,0.0,200,947.276,0
6,1,0;20326;21109;21046;20072;20844;21269;21283;21440;0,8:13,15:51,106136,1273.632,50,6.4,200,1535.232,1
7,1,0;21164;20025;21131;20117;20943;0,8:3,12:26,66801,801.612,0,0.0,200,1001.6120000000001,0
8,1,0;20057;21049;20201;21034;0,8:11,11:20,25594,307.128,0,9.600000000000001,200,521.128,0
9,1,0;21052;20341;20384;20602;20324;0,8:0,12:31,48487,581.844,0,0.0,200,781.844,0
10,1,0;21037;21072;20338;21111;0,8:14,10:51,19552,234.624,0,0.0,200,434.624,0
11,1,0;21136;20398;20311;20462;0,8:12,11:21,18241,218.892,0,10.8,200,434.49199999999996,0
12,1,0;20869;20445;20561;20310;0,8:14,11:24,26900,322.8,0,6.4,200,532.8,0
13,1,0;21196;20568;20109;20277;0,8:53,11:32,21502,258.024,0,0.0,200,472.424,0
14,1,0;20441;20469;20216;20012;0,8:59,12:9,35628,427.536,0,0.0,200,637.936,0
15,1,0;20021;20858;20961;20674;21400;21300;0,8:26,14:41,58969,707.628,0,41.2,200,948.828,0
16,1,0;21165;21068;20290;21159;0,8:33,11:16,21573,258.87600000000003,0,0.0,200,460.076,0
17,1,0;20583;20829;20808;21082;0,8:16,11:17,18996,227.952,0,8.0,200,435.952,0
18,1,0;21139;20907;20556;20501;0,8:52,11:24,13877,166.524,0,0.0,200,372.924,0
19,1,0;20357;20023;20070;20111;20837;0,8:32,11:54,34409,412.908,0,0.0,200,612.908,0
20,1,0;20671;20824;20838;20467;0,8:26,11:16,27768,333.216,0,0.0,200,533.216,0
21,1,0;20382;20860;21200;20371;20580;20077;21306;21346;0,8:0,15:5,69393,832.716,0,24.0,200,1056.7160000000001,0
22,1,0;20473;20930;20655;20327;20286;0,8:2,12:11,53099,637.188,0,0.0,200,837.188,0
23,1,0;20218;20879;20498;20817;0,8:13,12:30,70844,850.128,0,0.0,200,1054.128,0
24,1,0;20044;20252;20859;20211;20034;21252;21351;21285;0,8:24,15:27,93953,1127.436,0,12.4,200,1349.436,0
25,1,0;20737;20510;20687;20366;21396;21389;0,8:22,15:15,85883,1030.596,0,38.400000000000006,200,1277.796,0
26,1,0;20672;20421;20617;21020;21051;20194;21361;21397;21383;21464;0,8:9,17:27,114774,1377.288,50,35.6,200,1663.688,1
